Nama,Gender,Tinggal_Dengan,Status_Kerja,Biaya,Tgl_Daftar_Kuliah,Alamat,UKM,Organisasi_Kampus,Lama_Kuliah,Fakultas,Jenis_Kelulusan
Cassidy Smith,Wanita,Kos,False,Beasiswa,2007,Tangerang,Tidak,False,5.0,FISIP,Telat
Cassidy Spencer,Wanita,Sendiri,True,Orang Tua,2008,Bekasi,Keilmuan,True,6.5,FT,Telat
Cassidy Stuart,Pria,Sendiri,False,Orang Tua,2007,Bogor,Tidak,True,5.5,FIKOM,Telat
Cassidy Tait,Wanita,Orang Tua,True,Orang Tua,2009,Jakarta,Tidak,False,5.5,FTI,Telat
Cassidy Utterson,Wanita,Sendiri,False,Orang Tua,2009,Jakarta,Tidak,True,6.0,FIKOM,Telat
Cassidy Vallins,Wanita,Sendiri,False,Mandiri,2009,Karawang,Seni,False,5.0,FT,Telat
Cassidy Williams,Wanita,Kos,False,Mandiri,2007,Tangerang,Keilmuan,False,6.5,FTI,Telat
Catherine Archer,Pria,Sendiri,True,Orang Tua,2009,Bekasi,Olahraga,False,6.5,FT,Telat
Catherine Cunningham,Wanita,Kos,False,Beasiswa,2007,Bogor,Tidak,False,7.0,FT,Telat
Catherine Flynn,Wanita,Orang Tua,False,Mandiri,2009,Bogor,Kewirausahaan,False,5.5,FISIP,Telat
Catherine Gallacher,Pria,Sendiri,False,Orang Tua,2007,Bogor,Olahraga,True,3.5,FTI,Cepat
Catherine Gibson,Pria,Sendiri,True,Orang Tua,2007,Bogor,Keilmuan,True,5.0,FT,Telat
Catherine Glass,Pria,Orang Tua,True,Mandiri,2009,Bekasi,Keilmuan,True,5.5,FT,Telat
Catherine Griffiths,Pria,Orang Tua,False,Beasiswa,2008,Bekasi,Olahraga,False,4.0,FTI,Tepat Waktu
Catherine Harvey,Wanita,Sendiri,True,Mandiri,2007,Tangerang,Olahraga,False,4.5,FT,Telat
Catherine Hill,Wanita,Kos,True,Mandiri,2009,Bekasi,Kewirausahaan,False,4.0,DKV,Tepat Waktu
Catherine Lee,Pria,Sendiri,True,Orang Tua,2008,Karawang,Keilmuan,True,4.0,FT,Tepat Waktu
Catherine Needham,Wanita,Kos,False,Mandiri,2009,Bekasi,Tidak,True,6.0,FISIP,Telat
Catherine Nelson,Wanita,Orang Tua,True,Orang Tua,2008,Serang,Tidak,True,5.5,FIKOM,Telat
Catherine Owen,Wanita,Sendiri,True,Orang Tua,2009,Bogor,Keilmuan,True,6.5,FT,Telat
Catherine Shaw,Pria,Orang Tua,False,Orang Tua,2008,Jakarta,Kewirausahaan,False,3.5,FT,Cepat
Catherine Stone,Wanita,Sendiri,True,Orang Tua,2008,Bekasi,Kewirausahaan,False,4.0,FTI,Tepat Waktu
Catherine Thomson,Wanita,Sendiri,False,Mandiri,2009,Serang,Keilmuan,False,4.5,DKV,Telat
Catherine Tutton,Wanita,Sendiri,True,Mandiri,2007,Bogor,Seni,False,5.0,FT,Telat
Catherine Verdon,Pria,Sendiri,True,Mandiri,2008,Bekasi,Olahraga,False,4.5,FISIP,Telat
Caydence Addison,Wanita,Orang Tua,True,Orang Tua,2007,Karawang,Keilmuan,True,4.5,FTI,Telat
Caydence Drew,Pria,Orang Tua,True,Mandiri,2008,Jakarta,Tidak,True,5.0,FIKOM,Telat
Caydence Ellison,Wanita,Kos,False,Mandiri,2007,Karawang,Seni,False,6.0,FTI,Telat
Caydence Flett,Wanita,Sendiri,True,Mandiri,2009,Tangerang,Tidak,False,6.5,FISIP,Telat
Caydence Mason,Wanita,Kos,False,Beasiswa,2007,Karawang,Kewirausahaan,False,6.5,DKV,Telat
Caydence Nobbs,Wanita,Orang Tua,True,Mandiri,2009,Jakarta,Keilmuan,True,7.0,FTI,Telat
Caydence Palmer,Pria,Sendiri,True,Orang Tua,2008,Tangerang,Tidak,True,4.0,FTI,Tepat Waktu
Caydence Reid,Pria,Sendiri,True,Orang Tua,2008,Jakarta,Olahraga,True,4.5,DKV,Telat
Caydence Sinclair,Wanita,Orang Tua,False,Beasiswa,2007,Serang,Olahraga,False,4.5,FTI,Telat
Caydence Stanton,Wanita,Kos,True,Orang Tua,2009,Tangerang,Keilmuan,False,5.5,DKV,Telat
Caydence Thomson,Pria,Kos,True,Beasiswa,2009,Bogor,Kewirausahaan,False,7.0,FISIP,Telat
Caydence Villiger,Wanita,Orang Tua,False,Mandiri,2007,Bogor,Seni,False,4.5,FTI,Telat
Caydence Warden,Pria,Orang Tua,False,Beasiswa,2008,Serang,Olahraga,True,4.5,FT,Telat
Caydence Wilton,Wanita,Sendiri,True,Orang Tua,2007,Jakarta,Tidak,True,7.0,FTI,Telat
Cecilia Adams,Wanita,Orang Tua,True,Mandiri,2007,Jakarta,Keilmuan,False,4.0,FIKOM,Tepat Waktu
Cecilia Appleton,Pria,Sendiri,True,Orang Tua,2008,Serang,Tidak,True,3.5,FIKOM,Cepat
Cecilia Ballard,Wanita,Orang Tua,True,Mandiri,2009,Karawang,Kewirausahaan,False,3.5,FT,Cepat
Cecilia Bullock,Pria,Sendiri,False,Orang Tua,2007,Bekasi,Olahraga,True,4.5,FIKOM,Telat
Cecilia Carpenter,Pria,Orang Tua,True,Orang Tua,2007,Karawang,Kewirausahaan,True,6.0,FT,Telat
Cecilia Harris,Wanita,Kos,False,Beasiswa,2007,Karawang,Seni,True,3.5,FTI,Cepat
Cecilia Holmes,Pria,Kos,False,Beasiswa,2008,Karawang,Tidak,True,3.5,FISIP,Cepat
Cecilia Howard,Pria,Sendiri,False,Beasiswa,2007,Serang,Tidak,False,4.5,FT,Telat
Cecilia Richardson,Pria,Kos,True,Orang Tua,2009,Jakarta,Tidak,False,6.5,FT,Telat
Cecilia Ripley,Pria,Orang Tua,False,Mandiri,2009,Bekasi,Olahraga,False,3.5,FIKOM,Cepat
Cecilia Santos,Wanita,Kos,True,Beasiswa,2008,Karawang,Kewirausahaan,False,4.0,DKV,Tepat Waktu
Cecilia Scott,Pria,Orang Tua,True,Mandiri,2009,Bogor,Tidak,False,6.5,FIKOM,Telat
Cecilia Shields,Wanita,Kos,True,Beasiswa,2007,Jakarta,Tidak,True,4.0,FT,Tepat Waktu
Cecilia Snell,Wanita,Orang Tua,False,Orang Tua,2007,Jakarta,Seni,True,4.0,FT,Tepat Waktu
Cecilia Tanner,Wanita,Orang Tua,True,Beasiswa,2009,Bekasi,Tidak,True,6.5,DKV,Telat
Cecilia Vinton,Pria,Sendiri,True,Beasiswa,2008,Serang,Olahraga,True,4.5,FT,Telat
Cecilia Walter,Wanita,Sendiri,False,Orang Tua,2007,Serang,Seni,True,6.5,DKV,Telat
Cecilia Wilson,Wanita,Sendiri,False,Orang Tua,2007,Tangerang,Keilmuan,True,5.5,FISIP,Telat
Cedrick Addley,Wanita,Kos,False,Beasiswa,2008,Karawang,Keilmuan,True,7.0,FT,Telat
Cedrick Allen,Wanita,Orang Tua,False,Orang Tua,2009,Tangerang,Kewirausahaan,False,6.5,DKV,Telat
Cedrick Ballard,Wanita,Orang Tua,False,Beasiswa,2009,Jakarta,Kewirausahaan,False,6.5,FT,Telat
Cedrick Bingham,Pria,Orang Tua,True,Mandiri,2008,Karawang,Tidak,False,5.0,FT,Telat
Cedrick Blackwall,Wanita,Orang Tua,True,Mandiri,2009,Karawang,Kewirausahaan,True,4.0,FISIP,Tepat Waktu
Cedrick Brock,Pria,Sendiri,False,Mandiri,2007,Serang,Tidak,False,6.0,FISIP,Telat
Cedrick Butler,Pria,Sendiri,True,Beasiswa,2008,Bekasi,Kewirausahaan,True,7.0,DKV,Telat
Cedrick Cadman,Pria,Sendiri,True,Mandiri,2007,Jakarta,Kewirausahaan,False,3.5,FIKOM,Cepat
Cedrick Clark,Pria,Kos,False,Beasiswa,2008,Jakarta,Kewirausahaan,False,3.5,FIKOM,Cepat
Cedrick Cobb,Pria,Orang Tua,True,Beasiswa,2007,Tangerang,Olahraga,False,7.0,FIKOM,Telat
Cedrick Cowan,Pria,Orang Tua,False,Orang Tua,2008,Tangerang,Tidak,False,3.5,FIKOM,Cepat
Cedrick Crawford,Wanita,Sendiri,True,Mandiri,2007,Jakarta,Kewirausahaan,False,4.0,DKV,Tepat Waktu
Cedrick Dempsey,Wanita,Orang Tua,True,Orang Tua,2009,Bekasi,Tidak,False,5.0,FT,Telat
Cedrick Fall,Pria,Orang Tua,False,Orang Tua,2008,Serang,Kewirausahaan,False,3.5,FIKOM,Cepat
Cedrick Fenton,Pria,Sendiri,False,Beasiswa,2009,Bogor,Olahraga,True,4.5,DKV,Telat
Cedrick Forester,Pria,Sendiri,False,Beasiswa,2009,Tangerang,Keilmuan,True,4.0,DKV,Tepat Waktu
Cedrick Franks,Pria,Sendiri,True,Beasiswa,2007,Karawang,Olahraga,True,4.5,FIKOM,Telat
Cedrick Gallacher,Pria,Sendiri,True,Orang Tua,2007,Karawang,Kewirausahaan,True,7.0,FIKOM,Telat
Cedrick Graham,Wanita,Kos,True,Beasiswa,2009,Tangerang,Kewirausahaan,True,3.5,FIKOM,Cepat
Cedrick Griffiths,Wanita,Kos,True,Mandiri,2008,Serang,Olahraga,True,6.0,FISIP,Telat
Cedrick Hood,Pria,Sendiri,False,Orang Tua,2007,Bekasi,Kewirausahaan,False,3.5,FISIP,Cepat
Cedrick Jenkin,Wanita,Kos,True,Mandiri,2008,Bekasi,Olahraga,True,4.5,FTI,Telat
Cedrick Jordan,Pria,Sendiri,True,Mandiri,2008,Karawang,Kewirausahaan,False,6.5,FISIP,Telat
Cedrick Kerr,Pria,Kos,True,Beasiswa,2007,Karawang,Seni,True,4.5,FIKOM,Telat
Cedrick Knight,Wanita,Sendiri,True,Orang Tua,2007,Bogor,Kewirausahaan,False,6.5,FISIP,Telat
Cedrick Lakey,Wanita,Sendiri,True,Beasiswa,2009,Bogor,Olahraga,False,3.5,FIKOM,Cepat
Cedrick Lane,Wanita,Orang Tua,True,Orang Tua,2008,Tangerang,Tidak,True,5.0,FISIP,Telat
Cedrick Lomax,Pria,Sendiri,True,Mandiri,2007,Serang,Keilmuan,False,5.0,DKV,Telat
Cedrick Mackenzie,Wanita,Kos,True,Mandiri,2007,Tangerang,Olahraga,False,7.0,FT,Telat
Cedrick Matthews,Pria,Orang Tua,True,Mandiri,2008,Tangerang,Kewirausahaan,False,4.5,FT,Telat
Cedrick Miller,Pria,Orang Tua,False,Beasiswa,2008,Bogor,Seni,False,7.0,FTI,Telat
Cedrick Needham,Pria,Sendiri,True,Orang Tua,2008,Jakarta,Olahraga,False,6.5,FT,Telat
Cedrick Norman,Wanita,Kos,True,Orang Tua,2007,Serang,Tidak,False,7.0,FISIP,Telat
Cedrick Patel,Wanita,Sendiri,False,Mandiri,2008,Bekasi,Tidak,True,7.0,DKV,Telat
Cedrick Potts,Pria,Orang Tua,False,Orang Tua,2007,Tangerang,Seni,False,5.5,FTI,Telat
Cedrick Price,Wanita,Sendiri,True,Beasiswa,2009,Karawang,Olahraga,False,5.5,FISIP,Telat
Cedrick Radcliffe,Pria,Kos,True,Beasiswa,2008,Bogor,Olahraga,True,5.0,FT,Telat
Cedrick Rodgers,Wanita,Kos,True,Orang Tua,2007,Bogor,Kewirausahaan,True,3.5,FISIP,Cepat
Cedrick Simmons,Wanita,Orang Tua,True,Beasiswa,2007,Bogor,Keilmuan,True,3.5,FISIP,Cepat
Cedrick Snell,Pria,Sendiri,False,Beasiswa,2007,Bekasi,Tidak,False,6.0,FT,Telat
Cedrick Snow,Pria,Orang Tua,True,Orang Tua,2008,Bogor,Seni,False,6.0,FT,Telat
Cedrick Stewart,Pria,Kos,False,Beasiswa,2008,Bekasi,Keilmuan,True,4.5,FISIP,Telat
Cedrick Vaughan,Pria,Kos,True,Mandiri,2008,Bekasi,Seni,False,4.5,FT,Telat
Cedrick Verdon,Wanita,Orang Tua,True,Beasiswa,2009,Bekasi,Keilmuan,True,3.5,FIKOM,Cepat
Cedrick Waterson,Wanita,Orang Tua,True,Orang Tua,2007,Bogor,Seni,True,4.5,FISIP,Telat
Cedrick Watt,Wanita,Sendiri,True,Orang Tua,2009,Bekasi,Keilmuan,False,5.5,FT,Telat
Cedrick Widdows,Pria,Kos,False,Beasiswa,2009,Bekasi,Kewirausahaan,True,4.5,FT,Telat
Cedrick Wild,Pria,Orang Tua,False,Orang Tua,2007,Bogor,Tidak,True,5.0,FT,Telat
Cedrick Wood,Pria,Sendiri,True,Mandiri,2009,Karawang,Keilmuan,False,5.5,FT,Telat
Cedrick Young,Pria,Orang Tua,True,Beasiswa,2008,Tangerang,Tidak,True,5.0,FIKOM,Telat
Celia Asher,Pria,Kos,False,Mandiri,2007,Bekasi,Kewirausahaan,False,3.5,FIKOM,Cepat
Celia Butler,Pria,Kos,False,Beasiswa,2007,Bekasi,Tidak,False,4.5,FT,Telat
Celia Camden,Wanita,Orang Tua,True,Orang Tua,2008,Bogor,Tidak,False,4.0,FTI,Tepat Waktu
Celia Lewis,Wanita,Kos,False,Beasiswa,2007,Bekasi,Seni,True,5.5,FIKOM,Telat
Celia Nayler,Wanita,Kos,True,Mandiri,2007,Jakarta,Olahraga,False,3.5,FIKOM,Cepat
Celia Newton,Wanita,Orang Tua,False,Orang Tua,2007,Serang,Olahraga,True,5.5,FT,Telat
Celia Page,Pria,Sendiri,False,Orang Tua,2009,Karawang,Olahraga,True,4.0,FIKOM,Tepat Waktu
Celia Townend,Pria,Sendiri,True,Mandiri,2009,Karawang,Seni,False,6.5,FISIP,Telat
Celia Victor,Wanita,Orang Tua,False,Mandiri,2009,Bekasi,Keilmuan,True,6.0,FISIP,Telat
Celia Williams,Pria,Kos,True,Beasiswa,2007,Bekasi,Keilmuan,True,3.5,FISIP,Cepat
Celina Haines,Pria,Sendiri,True,Mandiri,2008,Bekasi,Kewirausahaan,False,7.0,DKV,Telat
Celina Hunter,Wanita,Kos,True,Orang Tua,2009,Jakarta,Keilmuan,True,6.5,FISIP,Telat
Celina Knight,Pria,Kos,False,Mandiri,2008,Karawang,Seni,False,4.5,FT,Telat
Celina Mackenzie,Wanita,Sendiri,True,Mandiri,2008,Bogor,Olahraga,False,5.0,FISIP,Telat
Celina Middleton,Wanita,Sendiri,True,Mandiri,2009,Bekasi,Olahraga,True,3.5,FT,Cepat
Celina Pearce,Wanita,Orang Tua,False,Orang Tua,2009,Tangerang,Keilmuan,False,6.5,DKV,Telat
Celina Reading,Pria,Kos,True,Beasiswa,2007,Karawang,Keilmuan,False,5.5,FTI,Telat
Celina Reese,Wanita,Kos,True,Beasiswa,2009,Tangerang,Olahraga,True,6.5,FISIP,Telat
Celina Smith,Wanita,Sendiri,True,Mandiri,2009,Bekasi,Kewirausahaan,True,5.0,FTI,Telat
Chad Allen,Wanita,Kos,False,Mandiri,2008,Jakarta,Olahraga,False,4.0,DKV,Tepat Waktu
Chad Bailey,Pria,Kos,False,Beasiswa,2009,Jakarta,Seni,True,6.0,FIKOM,Telat
Chad Bentley,Wanita,Orang Tua,True,Orang Tua,2009,Tangerang,Keilmuan,True,5.5,FT,Telat
Chad Blackburn,Pria,Kos,True,Orang Tua,2008,Bogor,Seni,True,3.5,DKV,Cepat
Chad Booth,Wanita,Sendiri,True,Beasiswa,2009,Tangerang,Olahraga,True,4.0,FT,Tepat Waktu
Chad Broomfield,Pria,Kos,True,Orang Tua,2008,Jakarta,Olahraga,False,5.0,FTI,Telat
Chad Callan,Wanita,Sendiri,True,Beasiswa,2008,Bogor,Olahraga,False,5.5,FISIP,Telat
Chad Collingwood,Pria,Orang Tua,True,Beasiswa,2007,Bekasi,Seni,True,4.5,DKV,Telat
Chad Corbett,Pria,Sendiri,False,Mandiri,2008,Jakarta,Seni,False,4.5,FISIP,Telat
Chad Cowan,Wanita,Sendiri,False,Orang Tua,2008,Bekasi,Seni,True,6.5,FIKOM,Telat
Chad Crawford,Pria,Kos,True,Mandiri,2008,Bogor,Keilmuan,False,5.5,FISIP,Telat
Chad Curtis,Pria,Sendiri,True,Beasiswa,2008,Jakarta,Keilmuan,False,6.0,FISIP,Telat
Chad Davies,Pria,Sendiri,False,Mandiri,2008,Tangerang,Tidak,True,4.5,FISIP,Telat
Chad Doherty,Pria,Kos,False,Orang Tua,2009,Bogor,Keilmuan,True,3.5,FIKOM,Cepat
Chad Eastwood,Pria,Sendiri,False,Mandiri,2008,Jakarta,Olahraga,False,4.5,FTI,Telat
Chad Emmett,Pria,Sendiri,False,Mandiri,2009,Karawang,Kewirausahaan,True,4.0,FT,Tepat Waktu
Chad Farrell,Wanita,Orang Tua,False,Mandiri,2008,Serang,Seni,False,6.0,FT,Telat
Chad Gordon,Wanita,Kos,False,Beasiswa,2007,Jakarta,Olahraga,False,4.0,FIKOM,Tepat Waktu
Chad Higgs,Wanita,Orang Tua,False,Orang Tua,2007,Serang,Tidak,True,3.5,FTI,Cepat
Chad Johnson,Wanita,Orang Tua,False,Beasiswa,2008,Bekasi,Kewirausahaan,False,4.5,FISIP,Telat
Chad Lane,Wanita,Sendiri,True,Beasiswa,2008,Jakarta,Keilmuan,True,6.0,FT,Telat
Chad Logan,Wanita,Orang Tua,True,Beasiswa,2007,Serang,Keilmuan,False,5.5,DKV,Telat
Chad Long,Pria,Orang Tua,False,Orang Tua,2009,Serang,Seni,True,3.5,FIKOM,Cepat
Chad Martin,Wanita,Kos,True,Orang Tua,2008,Jakarta,Tidak,False,5.0,FISIP,Telat
Chad Moreno,Pria,Sendiri,False,Beasiswa,2007,Karawang,Seni,True,6.0,FTI,Telat
Chad Purvis,Pria,Sendiri,False,Mandiri,2008,Tangerang,Kewirausahaan,False,6.0,FT,Telat
Chad Rigg,Pria,Orang Tua,False,Mandiri,2007,Tangerang,Olahraga,False,4.0,FISIP,Tepat Waktu
Chad Rodwell,Wanita,Sendiri,True,Beasiswa,2007,Jakarta,Olahraga,False,3.5,FT,Cepat
Chad Rossi,Pria,Sendiri,False,Mandiri,2007,Jakarta,Tidak,True,3.5,FTI,Cepat
Chad Saunders,Pria,Sendiri,True,Mandiri,2007,Karawang,Seni,False,6.5,DKV,Telat
Chad Sheldon,Wanita,Orang Tua,True,Beasiswa,2008,Jakarta,Keilmuan,True,6.5,FTI,Telat
Chad Snell,Wanita,Sendiri,True,Orang Tua,2009,Jakarta,Seni,True,3.5,FIKOM,Cepat
Chad Stanley,Pria,Sendiri,False,Orang Tua,2007,Serang,Keilmuan,False,5.5,FTI,Telat
Chad Stewart,Wanita,Sendiri,True,Mandiri,2008,Tangerang,Tidak,True,5.0,FISIP,Telat
Chad Sylvester,Pria,Kos,True,Orang Tua,2009,Serang,Seni,False,4.0,FIKOM,Tepat Waktu
Chad Tate,Pria,Kos,False,Orang Tua,2007,Serang,Keilmuan,False,4.0,FIKOM,Tepat Waktu
Chad Ulyatt,Wanita,Orang Tua,True,Beasiswa,2008,Bogor,Keilmuan,True,4.0,DKV,Tepat Waktu
Chad Vallory,Wanita,Sendiri,False,Mandiri,2008,Bogor,Keilmuan,True,4.0,FIKOM,Tepat Waktu
Chad Walsh,Pria,Orang Tua,False,Beasiswa,2007,Tangerang,Keilmuan,True,5.5,DKV,Telat
Chad Warden,Wanita,Orang Tua,False,Orang Tua,2008,Bekasi,Tidak,False,5.5,FISIP,Telat
Chad Whatson,Wanita,Orang Tua,True,Orang Tua,2007,Bekasi,Olahraga,True,5.0,FIKOM,Telat
Chad Wheeler,Pria,Orang Tua,False,Orang Tua,2009,Jakarta,Olahraga,False,6.5,FT,Telat
Chad Widdows,Pria,Sendiri,True,Beasiswa,2009,Jakarta,Kewirausahaan,True,6.0,FTI,Telat
Chad Wood,Wanita,Kos,True,Mandiri,2007,Bekasi,Kewirausahaan,False,5.0,FISIP,Telat
Chad Yates,Wanita,Kos,True,Mandiri,2009,Jakarta,Seni,False,5.0,FISIP,Telat
Chadwick Atkinson,Pria,Sendiri,True,Mandiri,2009,Bekasi,Tidak,False,7.0,FTI,Telat
Chadwick Bailey,Pria,Sendiri,True,Beasiswa,2007,Karawang,Tidak,True,5.5,FTI,Telat
Chadwick Barclay,Pria,Orang Tua,False,Orang Tua,2008,Karawang,Kewirausahaan,False,3.5,FT,Cepat
Chadwick Butler,Wanita,Sendiri,True,Orang Tua,2008,Tangerang,Kewirausahaan,False,5.0,FIKOM,Telat
Chadwick Chester,Wanita,Kos,True,Beasiswa,2007,Serang,Kewirausahaan,False,6.0,FTI,Telat
Chadwick Clark,Wanita,Kos,True,Mandiri,2007,Tangerang,Tidak,True,4.0,FTI,Tepat Waktu
Chadwick Coates,Pria,Kos,False,Mandiri,2007,Bogor,Seni,False,3.5,FTI,Cepat
Chadwick Cowan,Pria,Kos,False,Beasiswa,2009,Bogor,Seni,True,7.0,FTI,Telat
Chadwick Dixon,Pria,Kos,False,Orang Tua,2007,Bekasi,Seni,False,3.5,FISIP,Cepat
Chadwick Doherty,Pria,Kos,False,Beasiswa,2009,Tangerang,Olahraga,False,4.5,FTI,Telat
Chadwick Edley,Pria,Orang Tua,False,Beasiswa,2009,Serang,Seni,True,6.0,FTI,Telat
Chadwick Edmonds,Pria,Sendiri,False,Beasiswa,2008,Karawang,Tidak,False,7.0,FIKOM,Telat
Chadwick Forth,Pria,Kos,False,Beasiswa,2009,Jakarta,Olahraga,True,6.0,FTI,Telat
Chadwick Gordon,Wanita,Orang Tua,True,Beasiswa,2007,Jakarta,Kewirausahaan,False,5.0,FISIP,Telat
Chadwick Griffiths,Wanita,Sendiri,False,Mandiri,2008,Karawang,Olahraga,True,6.0,FTI,Telat
Chadwick Harris,Pria,Orang Tua,False,Orang Tua,2009,Bekasi,Tidak,True,4.5,FTI,Telat
Chadwick Higgs,Wanita,Sendiri,False,Orang Tua,2009,Bogor,Seni,True,6.0,FT,Telat
Chadwick Huggins,Pria,Sendiri,False,Mandiri,2007,Jakarta,Seni,True,4.5,FISIP,Telat
Chadwick Jarvis,Wanita,Sendiri,False,Orang Tua,2007,Bogor,Olahraga,True,4.0,DKV,Tepat Waktu
Chadwick Jefferson,Wanita,Orang Tua,True,Mandiri,2009,Jakarta,Kewirausahaan,True,6.5,FIKOM,Telat
Chadwick Jennson,Wanita,Sendiri,True,Orang Tua,2009,Bekasi,Keilmuan,True,4.0,DKV,Tepat Waktu
Chadwick Johnson,Wanita,Sendiri,True,Mandiri,2007,Bekasi,Keilmuan,False,5.0,FIKOM,Telat
Chadwick Lloyd,Pria,Orang Tua,False,Beasiswa,2009,Bogor,Keilmuan,False,5.5,FTI,Telat
Chadwick Mcgee,Wanita,Sendiri,True,Beasiswa,2008,Jakarta,Olahraga,True,5.0,FISIP,Telat
Chadwick Moreno,Pria,Orang Tua,False,Orang Tua,2008,Jakarta,Tidak,True,5.5,FTI,Telat
Chadwick Newton,Pria,Orang Tua,False,Mandiri,2008,Bekasi,Seni,True,4.5,FIKOM,Telat
Chadwick Parr,Wanita,Sendiri,False,Orang Tua,2007,Serang,Seni,True,5.0,FTI,Telat
Chadwick Potter,Pria,Orang Tua,True,Beasiswa,2007,Bekasi,Olahraga,True,6.0,FTI,Telat
Chadwick Rainford,Pria,Kos,False,Mandiri,2008,Bogor,Tidak,False,7.0,DKV,Telat
Chadwick Ripley,Wanita,Kos,False,Mandiri,2009,Bekasi,Tidak,True,6.0,FT,Telat
Chadwick Seymour,Wanita,Sendiri,True,Orang Tua,2008,Serang,Kewirausahaan,False,7.0,FT,Telat
Chadwick Shaw,Wanita,Sendiri,True,Orang Tua,2009,Serang,Kewirausahaan,False,4.0,FISIP,Tepat Waktu
Chadwick Simpson,Pria,Sendiri,True,Mandiri,2009,Serang,Keilmuan,False,4.0,FIKOM,Tepat Waktu
Chadwick Stewart,Pria,Orang Tua,False,Orang Tua,2009,Serang,Olahraga,True,3.5,DKV,Cepat
Chadwick Tanner,Wanita,Orang Tua,True,Beasiswa,2009,Bekasi,Olahraga,False,4.5,FT,Telat
Chadwick Ulyatt,Wanita,Kos,False,Beasiswa,2009,Jakarta,Keilmuan,True,7.0,FIKOM,Telat
Chadwick Weston,Pria,Kos,True,Mandiri,2007,Karawang,Seni,False,4.5,FISIP,Telat
Chadwick Whatson,Pria,Kos,False,Mandiri,2007,Bekasi,Kewirausahaan,False,5.0,FT,Telat
Chadwick Wilton,Pria,Sendiri,False,Mandiri,2007,Karawang,Kewirausahaan,True,7.0,FTI,Telat
Chadwick York,Pria,Kos,False,Mandiri,2009,Jakarta,Keilmuan,True,5.0,DKV,Telat
Chanelle Allington,Wanita,Sendiri,True,Mandiri,2008,Tangerang,Tidak,True,3.5,FT,Cepat
Chanelle Baker,Wanita,Sendiri,True,Beasiswa,2009,Bekasi,Keilmuan,False,4.5,FTI,Telat
Chanelle Coll,Wanita,Sendiri,False,Mandiri,2009,Tangerang,Tidak,False,3.5,FISIP,Cepat
Chanelle Collis,Pria,Sendiri,False,Orang Tua,2007,Karawang,Kewirausahaan,False,5.5,FIKOM,Telat
Chanelle Higgs,Pria,Sendiri,False,Orang Tua,2007,Bekasi,Kewirausahaan,True,3.5,FISIP,Cepat
Chanelle Jeffery,Pria,Orang Tua,False,Orang Tua,2009,Jakarta,Seni,False,4.0,FISIP,Tepat Waktu
Chanelle Mcnally,Wanita,Kos,True,Orang Tua,2007,Karawang,Keilmuan,True,7.0,FT,Telat
Chanelle Phillips,Pria,Orang Tua,True,Beasiswa,2009,Jakarta,Olahraga,False,4.0,FT,Tepat Waktu
Chanelle Rixon,Wanita,Kos,True,Orang Tua,2008,Karawang,Tidak,False,6.5,DKV,Telat
Chanelle Webster,Wanita,Kos,False,Beasiswa,2008,Bekasi,Seni,False,6.5,FTI,Telat
Chanelle Woods,Pria,Kos,False,Orang Tua,2007,Serang,Tidak,False,5.5,DKV,Telat
Charlize Barrett,Pria,Sendiri,True,Beasiswa,2008,Bogor,Olahraga,True,6.5,FIKOM,Telat
Charlize Boden,Wanita,Orang Tua,False,Orang Tua,2007,Karawang,Tidak,False,6.5,DKV,Telat
Charlize Camden,Wanita,Sendiri,True,Mandiri,2009,Jakarta,Keilmuan,False,6.5,FIKOM,Telat
Charlize Craig,Wanita,Sendiri,False,Beasiswa,2008,Tangerang,Keilmuan,False,5.0,FTI,Telat
Charlize Devonport,Wanita,Kos,False,Orang Tua,2007,Tangerang,Tidak,False,4.0,FT,Tepat Waktu
Charlize Dwyer,Pria,Orang Tua,False,Beasiswa,2009,Jakarta,Kewirausahaan,True,5.5,FTI,Telat
Charlize Fields,Pria,Orang Tua,True,Mandiri,2008,Jakarta,Olahraga,True,6.5,FIKOM,Telat
Charlize Gregory,Pria,Orang Tua,False,Orang Tua,2009,Bekasi,Tidak,True,3.5,FIKOM,Cepat
Charlize Heaton,Wanita,Orang Tua,True,Orang Tua,2009,Bekasi,Seni,True,4.5,FIKOM,Telat
Charlize Holt,Wanita,Orang Tua,True,Mandiri,2007,Serang,Kewirausahaan,True,3.5,FISIP,Cepat
Charlize Jackson,Wanita,Kos,True,Beasiswa,2007,Bogor,Kewirausahaan,True,5.5,FIKOM,Telat
Charlize Lewis,Wanita,Orang Tua,False,Mandiri,2008,Jakarta,Seni,True,4.0,FISIP,Tepat Waktu
Charlize Martin,Pria,Kos,True,Orang Tua,2008,Bekasi,Tidak,True,3.5,FISIP,Cepat
Charlize Roberts,Wanita,Sendiri,False,Orang Tua,2009,Karawang,Olahraga,True,7.0,FTI,Telat
Charlize Tindall,Pria,Kos,True,Mandiri,2009,Bekasi,Seni,False,4.0,FTI,Tepat Waktu
Charlize Weatcroft,Wanita,Kos,False,Orang Tua,2008,Serang,Tidak,True,7.0,FT,Telat
Charlotte Archer,Pria,Sendiri,True,Orang Tua,2008,Tangerang,Kewirausahaan,False,5.5,FIKOM,Telat
Charlotte Blythe,Wanita,Sendiri,False,Mandiri,2008,Karawang,Seni,True,7.0,FISIP,Telat
